指标,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月
旅客周转量当期值(亿人公里),2137.96,2099.61,2547.06,2479.74,3165.77,3119.2,2397.68,2346.74,2334.98,2049.75,2047.99,1877.89
旅客周转量累计值(亿人公里),28609.53,26466.59,24366.98,21819.91,19340.17,16174.4,13055.19,10657.52,8310.78,5975.64,3925.89,1877.89
旅客周转量同比增长(%),146.2,228.3,193.4,126,92.3,78,101.4,240.2,391.1,150.1,37.6,35.5
旅客周转量累计增长(%),121.4,119.6,113.5,106.9,104.7,107.3,115.8,119.3,99.3,61.8,36.6,35.5
铁路旅客周转量当期值(亿人公里),958.46,957.56,1267.92,1246.23,1753.62,1729.84,1208.81,1201.41,1223.71,1043.11,1107.39,1031.29
铁路旅客周转量累计值(亿人公里),14729.36,13770.9,12813.34,11545.42,10299.19,8545.57,6815.72,5606.92,4405.51,3181.79,2138.68,1031.29
铁路旅客周转量同比增长(%),139.4,245.4,190.6,115.3,91.2,80.7,93.7,261.6,499.9,167.6,44.7,48.4
铁路旅客周转量累计增长(%),123.9,122.9,117.2,111.3,110.8,115.4,126.4,135,114.5,72,46.5,48.4
公路旅客周转量当期值(亿人公里),287.64,306.17,326.98,313.67,330.52,330.13,305.48,304.94,297.31,271.99,240.36,202.38
公路旅客周转量累计值(亿人公里),3517.58,3229.94,2923.77,2596.79,2283.12,1952.6,1622.47,1316.99,1012.04,714.73,442.74,202.38
公路旅客周转量同比增长(%),81,90.9,73.3,45.7,39.6,31.3,38.7,83,100.9,42.2,1.7,-13.3
公路旅客周转量累计增长(%),46.1,43.6,40,36.7,35.6,34.9,35.7,35,25.1,8.1,-5.7,-13.3
水运旅客周转量当期值(亿人公里),2.73,3.72,5.24,4.38,7.44,6.51,4.29,5.09,4.55,3.71,3.08,3.04
水运旅客周转量累计值(亿人公里),53.77,51.04,47.32,42.08,37.7,30.26,23.75,19.46,14.37,9.83,6.12,3.04
水运旅客周转量同比增长(%),144.8,178.1,154.7,157.8,106,90.7,112.8,265.3,393.5,213.3,52.8,65.2
水运旅客周转量累计增长(%),137.9,137.5,134.8,132.6,130,136.8,153.6,164.7,141.2,95.1,58.8,65.2
民航旅客周转量当期值(亿人公里),889.14,832.16,946.93,915.46,1074.19,1052.72,879.1,835.3,809.41,730.94,697.16,641.19
民航旅客周转量累计值(亿人公里),10308.83,9414.71,8582.55,7635.62,6720.16,5645.97,4593.25,3714.15,2878.86,2069.29,1338.35,641.19
民航旅客周转量同比增长(%),188.7,314.7,293.1,203.6,119.8,94.9,155.6,340.6,560.5,208.2,43.9,40.5
民航旅客周转量累计增长(%),163.4,161.1,152,141.3,134.7,137.8,150.5,149.3,121.4,75.7,42.3,40.5
