指标,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月
客运量当期值(万人),73965,74495,85182,79730,94474,90993,79073,79323,78400,70595,65872,58327
客运量累计值(万人),930441,856448,781953,696770,617040,522566,431573,352500,273200,194794,124200,58327
客运量同比增长(%),104.8,122.5,99.1,64.7,57.7,47,53.2,109.9,141.1,67.7,16.4,5
客运量累计增长(%),66.5,63.9,59.9,56.1,55.1,54.6,56.3,57,46.3,26.3,10.8,5
铁路客运量当期值(万人),28986,27974,35169,32499,42860,40919,32682,32560,32900,28038,27297,23609
铁路客运量累计值(万人),385450,356464,328490,293321,260822,217963,177044,144362,111800,78944,50907,23609
铁路客运量同比增长(%),192.4,279.3,195.6,120.3,94.6,80.9,95.3,252.9,477.4,176.4,43.3,32.1
铁路客运量累计增长(%),130.4,126.5,119,112.4,111.4,115.1,124.9,132.9,111.9,67.7,37.9,32.1
公路客运量当期值(万人),38640,39967,41888,39980,41625,40798,39041,39141,38300,36127,32551,29187
公路客运量累计值(万人),457264,418623,378657,336768,296788,255163,214365,175325,136200,97865,61738,29187
公路客运量同比增长(%),62.6,65.5,48.8,30.2,26.6,19.3,23.4,46.7,49.7,21.4,-2.3,-13.7
公路客运量累计增长(%),28.9,26.5,23.5,20.9,19.7,18.7,18.6,17.5,11.2,1,-8,-13.7
水运客运量当期值(万人),1280,1655,2520,1902,3593,3034,2039,2453,2200,1861,1704,1554
水运客运量累计值(万人),25771,24491,22836,20316,18414,14821,11787,9748,7300,5118,3257,1554
水运客运量同比增长(%),125.5,135.3,117.3,100.1,103,78.3,97.5,269.6,403.7,179.1,58.8,71.1
水运客运量累计增长(%),121.6,121.4,120.5,120.9,123.3,128.8,146.8,160.4,136.9,93.3,64.5,71.1
民航客运量当期值(万人),5059,4899,5605,5349,6396,6243,5312,5170,5000,4569,4320,3977
民航客运量累计值(万人),61957,56870,51970,46365,41016,34620,28377,23065,17900,12867,8297,3977
民航客运量同比增长(%),170.3,289.8,252,166.1,98,83.7,141.5,328.2,537.9,197.3,38,34.8
民航客运量累计增长(%),146.1,144.1,135.8,126.7,122.4,127.6,140.2,139.9,112.9,68.9,36.5,34.8
