指标,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,,,,,,,,
客运量当期值(万人),36123,33481,42794,48413,59623,61900,51605,37782,32506,42108,56582,55534,,,,,,,,
客运量累计值(万人),558738,522618,489136,446342,397640,338017,276117,224512,186730,154224,112116,55534,,,,,,,,
客运量同比增长(%),-37.3,-38,-41.2,-28.7,8.6,-25.8,-31.4,-55.5,-59.7,-43.5,-1.3,-17.3,,,,,,,,
客运量累计增长(%),-32.7,-32.4,-32,-30.9,-31.2,-35.5,-37.2,-38.4,-33.2,-22.5,-9.9,-17.3,,,,,,,,
铁路客运量当期值(万人),9913,7374,11896,14752,21732,22615,16736,9225,5691,10145,19052,17874,,,,,,,,
铁路客运量累计值(万人),167296,157383,150008,138113,123071,101339,78724,61988,52763,47072,36927,17874,,,,,,,,
铁路客运量同比增长(%),-39.9,-48.8,-52,-35,41,-26.7,-32,-68.6,-79.8,-58.4,33.1,13.7,,,,,,,,
铁路客运量累计增长(%),-35.9,-35.7,-34.9,-32.8,-32.7,-39.5,-42.3,-44.6,-36.1,-13.5,23,13.7,,,,,,,,
公路客运量当期值(万人),23771,24146,28147,30700,32890,34184,31637,26686,25595,29759,33328,33801,,,,,,,,
公路客运量累计值(万人),354643,330872,306726,278579,247879,214989,180805,149168,122482,96887,67129,33801,,,,,,,,
公路客运量同比增长(%),-36.8,-33.9,-33.7,-24.2,-9.3,-25.3,-29.6,-44.7,-43.9,-32.6,-15.5,-28.9,,,,,,,,
公路客运量累计增长(%),-30.3,-29.8,-29.5,-29,-29.6,-31.9,-33,-33.7,-30.7,-26.1,-22.8,-28.9,,,,,,,,
水运客运量当期值(万人),568,704,1159,950,1770,1701,1032,664,432,667,1073,908,,,,,,,,
水运客运量累计值(万人),11627,11060,10356,9197,8246,6477,4775,3743,3079,2647,1981,908,,,,,,,,
水运客运量同比增长(%),-32.4,-27.4,-30.5,-13.8,74.9,-12.5,-31.5,-69.1,-76.2,-48.7,-9.4,6.6,,,,,,,,
水运客运量累计增长(%),-28.8,-28.6,-28.7,-28.5,-29.9,-39.7,-45.7,-48.7,-40.2,-20.6,-2.7,6.6,,,,,,,,
民航客运量当期值(万人),1871,1257,1592,2010,3230,3400,2200,1207,788,1537,3129,2951,,,,,,,,
民航客运量累计值(万人),25171,23303,22046,20453,18443,15213,11813,9613,8406,7618,6081,2951,,,,,,,,
民航客运量同比增长(%),-30.9,-41.6,-59,-44.4,44.2,-30.8,-46.7,-76.4,-84.6,-67.9,30.7,-2.2,,,,,,,,
民航客运量累计增长(%),-42.9,-43.6,-43.8,-42.1,-41.8,-48.4,-51.9,-52.9,-45.1,-25.3,12.3,-2.2,,,,,,,,
